file,field_or_heading,exact_claim_text,evidence_source,evidence_location,status
"src/content/templates/template-absensi-karyawan-sederhana.md","file_spec","3 sheet; macro: no; download: template-absensi-karyawan-sederhana.xlsx","workbook inspection","public/downloads/template-absensi-karyawan-sederhana.xlsx","verified"
"src/content/templates/template-arus-kas-umkm.md","file_spec","4 sheet; macro: no; download: template-arus-kas-umkm.xlsx","workbook inspection","public/downloads/template-arus-kas-umkm.xlsx","verified"
"src/content/templates/template-budget-bulanan.md","file_spec","4 sheet; macro: no; download: template-budget-bulanan.xlsx","workbook inspection","public/downloads/template-budget-bulanan.xlsx","verified"
"src/content/templates/template-checklist-acara.md","file_spec","3 sheet; macro: no; download: template-checklist-acara.xlsx","workbook inspection","public/downloads/template-checklist-acara.xlsx","verified"
"src/content/templates/template-daftar-aset-inventaris-kantor.md","file_spec","3 sheet; macro: no; download: template-daftar-aset-inventaris-kantor.xlsx","workbook inspection","public/downloads/template-daftar-aset-inventaris-kantor.xlsx","verified"
"src/content/templates/template-daftar-belanja-rumah-tangga.md","file_spec","3 sheet; macro: no; download: template-daftar-belanja-rumah-tangga.xlsx","workbook inspection","public/downloads/template-daftar-belanja-rumah-tangga.xlsx","verified"
"src/content/templates/template-daftar-harga-produk-jasa.md","file_spec","3 sheet; macro: no; download: template-daftar-harga-produk-jasa.xlsx","workbook inspection","public/downloads/template-daftar-harga-produk-jasa.xlsx","verified"
"src/content/templates/template-daftar-kehadiran-acara.md","file_spec","3 sheet; macro: no; download: template-daftar-kehadiran-acara.xlsx","workbook inspection","public/downloads/template-daftar-kehadiran-acara.xlsx","verified"
"src/content/templates/template-daftar-piutang-pelanggan.md","file_spec","3 sheet; macro: no; download: template-daftar-piutang-pelanggan.xlsx","workbook inspection","public/downloads/template-daftar-piutang-pelanggan.xlsx","verified"
"src/content/templates/template-database-pelanggan-sederhana.md","file_spec","3 sheet; macro: no; download: template-database-pelanggan-sederhana.xlsx","workbook inspection","public/downloads/template-database-pelanggan-sederhana.xlsx","verified"
