path,primary_keyword,primary_intent,semantic_overlap,source_pr
"src/content/templates/template-arus-kas-umkm.md","template arus kas umkm excel","download + instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","#32"
"src/content/templates/template-budget-bulanan.md","template budget bulanan","download + instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","#30"
"src/content/templates/template-follow-up-pelanggan-excel.md","template follow up pelanggan excel","download + instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","#32"
"src/content/templates/template-invoice-penjualan-umkm.md","template invoice penjualan umkm excel","download + instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","#32"
"src/content/templates/template-jadwal-shift-sederhana.md","template jadwal shift excel","download + instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","#32"
"src/content/templates/template-kalender-planner-2026.md","template kalender 2026","download + instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","#32"
"src/content/templates/template-laporan-penjualan-harian-umkm.md","template laporan penjualan harian umkm","download + instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/templates/template-notulen-rapat-action-item.md","template notulen rapat action item excel","download + instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/templates/template-pembukuan-pengeluaran-usaha.md","template pembukuan pengeluaran usaha excel","download + instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/templates/template-pengeluaran-harian.md","template pengeluaran harian excel","download + instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/templates/template-stok-barang-excel-gratis.md","stok barang","download + instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/templates/template-target-tabungan.md","template target tabungan excel","download + instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/templates/template-task-tracker-kanban-excel.md","template task tracker kanban excel","download + instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/templates/template-tracker-cicilan-hutang.md","template tracker cicilan dan hutang excel","download + instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/templates/template-tracker-proyek-sederhana.md","template tracker proyek excel","download + instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/guides/panduan-arus-kas-sederhana-umkm.md","Cara Membaca Arus Kas Sederhana untuk UMKM","instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/guides/panduan-audit-rumus-excel.md","Cara Audit Rumus Excel dengan Trace Precedents dan Evaluate Formula","instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/guides/panduan-budget-pribadi-sebagai-catatan.md","Cara Membuat Budget Pribadi sebagai Catatan di Excel","instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/guides/panduan-checklist-kualitas-file-excel.md","Checklist Kualitas File Excel Sebelum Dikirim ke Orang Lain","instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/guides/panduan-dashboard-sederhana-excel.md","Cara Membuat Dashboard Sederhana di Excel","instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/guides/panduan-dropdown-data-validation-excel.md","Cara Membuat Dropdown Data Validation di Excel","instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/guides/panduan-dropdown-dinamis-excel.md","Cara Membuat Dropdown Excel yang Bertambah Otomatis","instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/guides/panduan-excel-table-untuk-template.md","Cara Memakai Excel Table agar Template Mudah Diperbarui","instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/guides/panduan-excel-table-vs-range.md","Excel Table vs Range Biasa: Pilih Sesuai Cara Data Dipakai","instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","#30"
"src/content/guides/panduan-file-excel-rapi-untuk-dipakai-rutin.md","Cara Menjaga File Excel Tetap Rapi untuk Dipakai Rutin","instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/guides/panduan-memilih-template-excel-umkm.md","Cara Memilih Template Excel untuk UMKM","instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/guides/panduan-rekap-penjualan-harian-excel.md","Cara Membuat Rekap Penjualan Harian di Excel","instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/guides/panduan-structured-references-excel-table.md","Structured References Excel: Membaca Rumus di Dalam Table","instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/formulas/rumus-countifs-dashboard-status.md","COUNTIFS","reference + instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","#30"
"src/content/formulas/rumus-filter-daftar-dinamis.md","FILTER","reference + instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/formulas/rumus-if-ifs-status-prioritas.md","IF dan IFS","reference + instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/formulas/rumus-iferror-template-rapi.md","IFERROR","reference + instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/formulas/rumus-sumifs-rekap-kategori.md","SUMIFS","reference + instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/formulas/rumus-xlookup-vlookup-data.md","XLOOKUP dan VLOOKUP","reference + instructional","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/troubleshooting/masalah-angka-tidak-terjumlah-format-teks.md","Angka Excel Tidak Terjumlah karena Format Teks","troubleshooting","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/troubleshooting/masalah-dropdown-data-validation-tidak-muncul.md","Dropdown Data Validation Tidak Muncul di Excel","troubleshooting","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/troubleshooting/masalah-file-excel-berantakan-google-sheets.md","File Excel Berantakan saat Dibuka di Google Sheets","troubleshooting","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/troubleshooting/masalah-sumifs-countifs-hasil-nol.md","SUMIFS atau COUNTIFS Hasilnya 0 di Excel","troubleshooting","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/troubleshooting/masalah-tanggal-salah-format-excel.md","Tanggal Salah Format atau Tidak Terbaca di Excel","troubleshooting","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
"src/content/troubleshooting/masalah-vlookup-xlookup-na.md","VLOOKUP atau XLOOKUP Menghasilkan #N/A di Excel","troubleshooting","Mapped to its page type and specific user task; review adjacent pages together where terms overlap.","all-published-resources"
