file,field_or_heading,exact_claim_text,evidence_source,evidence_location,status
src/content/templates/template-budget-bulanan.md,file_spec,"File ini memiliki empat sheet",workbook inspection,public/downloads/template-budget-bulanan.xlsx,verified
src/content/templates/template-budget-bulanan.md,file_spec,"tidak memakai macro",workbook inspection,public/downloads/template-budget-bulanan.xlsx,verified
src/content/templates/template-budget-bulanan.md,Isi file,"dua Excel Table, validasi data, proteksi sheet, 62 formula, dan dua chart",workbook inspection,public/downloads/template-budget-bulanan.xlsx,verified
src/content/templates/template-budget-bulanan.md,Isi file,"SUMIFS untuk menjumlahkan transaksi berdasarkan jenis serta IF untuk membaca kondisi selisih",workbook inspection,public/downloads/template-budget-bulanan.xlsx,verified
src/content/templates/template-budget-bulanan.md,Batasan,"Struktur workbook ditujukan untuk satu periode aktif",workbook inspection,public/downloads/template-budget-bulanan.xlsx,verified
src/content/templates/template-budget-bulanan.md,Batasan,"Kompatibilitas penuh dengan Google Sheets belum diverifikasi",editorial conservative wording,docs/content-rewrite/claim-register.csv,conservatively rewritten
src/content/guides/panduan-excel-table-vs-range.md,Perbedaan,"Excel Table lebih sesuai untuk daftar berbaris yang bertambah dan dapat memakai nama Table serta nama kolom",Microsoft Excel documentation,https://support.microsoft.com/en-us/office/create-and-format-tables-2b7b9c20-9b3c-4bb3-a0c3-a1f459bf0a45,verified
src/content/guides/panduan-excel-table-vs-range.md,Uji,"Tekan Ctrl+T untuk mengubah salinan kedua menjadi Table",Microsoft Excel documentation,https://support.microsoft.com/en-us/office/create-and-format-tables-2b7b9c20-9b3c-4bb3-a0c3-a1f459bf0a45,verified
src/content/guides/panduan-excel-table-vs-range.md,Checkpoint,"Resize Table dapat digunakan ketika baris baru berada di luar batas",Microsoft Excel documentation,https://support.microsoft.com/en-us/office/resize-a-table-by-adding-or-removing-rows-and-columns-3d3f71f7-b3cc-4c4c-a5ea-7e389ea8d9aa,verified
src/content/guides/panduan-excel-table-vs-range.md,Google Sheets,"antarmuka dan perilaku Table tidak sama dengan Table Design di Microsoft Excel",editorial conservative wording,docs/content-rewrite/claim-register.csv,conservatively rewritten
src/content/formulas/rumus-countifs-dashboard-status.md,Sintaks,"COUNTIFS menghitung jumlah baris yang memenuhi beberapa kriteria",Microsoft COUNTIFS documentation,https://support.microsoft.com/en-us/office/countifs-function-dda3dc6e-f74e-4aee-88bc-aa8c2a866842,verified
src/content/formulas/rumus-countifs-dashboard-status.md,Sintaks,"Semua rentang harus mempunyai jumlah baris dan kolom yang sama",Microsoft COUNTIFS documentation,https://support.microsoft.com/en-us/office/countifs-function-dda3dc6e-f74e-4aee-88bc-aa8c2a866842,verified
src/content/formulas/rumus-countifs-dashboard-status.md,Contoh,"=COUNTIFS($D$4:$D$7,A11,$E$4:$E$7,\"<>Selesai\",$B$4:$B$7,\"<>\") menghasilkan 1",recalculated example,src/content/formulas/rumus-countifs-dashboard-status.md,verified
src/content/formulas/rumus-countifs-dashboard-status.md,Status tertentu,"COUNTIF juga dapat digunakan ketika hanya ada satu kriteria",Microsoft COUNTIF documentation,https://support.microsoft.com/en-us/office/countif-function-e0de10c6-f885-4e71-abb4-1f464816df34,verified
src/content/formulas/rumus-countifs-dashboard-status.md,Pemisah,"Excel atau Google Sheets dapat memakai titik koma pada pengaturan regional tertentu",platform localization behavior,Microsoft Excel and Google Sheets regional settings,deferred
src/content/templates/template-arus-kas-umkm.md,file_spec,"File ini memiliki empat sheet dan tidak memakai macro",workbook inspection,public/downloads/template-arus-kas-umkm.xlsx,verified
src/content/templates/template-arus-kas-umkm.md,Isi file,"satu Excel Table, data validation, dan 12 formula",workbook inspection,public/downloads/template-arus-kas-umkm.xlsx,verified
src/content/templates/template-arus-kas-umkm.md,Isi file,"Tidak ditemukan PivotTable, chart, named range, atau proteksi sheet",workbook inspection,public/downloads/template-arus-kas-umkm.xlsx,verified
src/content/templates/template-arus-kas-umkm.md,Apa yang dihitung,"SUMIFS menjumlahkan nominal berdasarkan jenis arus dan bulan",workbook inspection,public/downloads/template-arus-kas-umkm.xlsx,verified
src/content/templates/template-arus-kas-umkm.md,Batasan,"Kompatibilitas penuh dengan Google Sheets belum diverifikasi",editorial conservative wording,docs/content-rewrite/claim-register.csv,conservatively rewritten
