path,primary_keyword,primary_intent,semantic_overlap,source_pr
"src/content/templates/template-absensi-karyawan-sederhana.md","absensi karyawan sederhana","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-arus-kas-umkm.md","template arus kas umkm excel","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-budget-bulanan.md","template budget bulanan","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-checklist-acara.md","checklist acara","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-daftar-aset-inventaris-kantor.md","daftar aset dan inventaris kantor","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-daftar-belanja-rumah-tangga.md","daftar belanja rumah tangga","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-daftar-harga-produk-jasa.md","daftar harga produk dan jasa","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-daftar-kehadiran-acara.md","daftar kehadiran acara","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-daftar-piutang-pelanggan.md","daftar piutang pelanggan","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-database-pelanggan-sederhana.md","database pelanggan sederhana","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-follow-up-pelanggan-excel.md","template follow up pelanggan excel","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-form-permintaan-pembelian.md","form permintaan pembelian","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-invoice-penjualan-umkm.md","template invoice penjualan umkm excel","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-jadwal-belajar-siswa.md","jadwal belajar siswa","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-jadwal-kerja-mingguan.md","jadwal kerja mingguan","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-jadwal-pembayaran-tagihan.md","jadwal pembayaran tagihan","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-jadwal-shift-sederhana.md","template jadwal shift excel","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-kalender-konten-media-sosial.md","kalender konten media sosial","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-kalender-planner-2026.md","template kalender 2026","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-kas-kecil-excel.md","kas kecil","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-laba-rugi-sederhana-umkm.md","laba rugi sederhana umkm","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-laporan-penjualan-harian-umkm.md","template laporan penjualan harian umkm","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-notulen-rapat-action-item.md","template notulen rapat action item excel","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-pembukuan-pengeluaran-usaha.md","template pembukuan pengeluaran usaha excel","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-pengeluaran-harian.md","template pengeluaran harian excel","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-purchase-order-sederhana.md","purchase order sederhana","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-rekap-penjualan-bulanan.md","rekap penjualan bulanan","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-rekap-pesanan-pelanggan.md","rekap pesanan pelanggan","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-rencana-proyek-sederhana.md","rencana proyek sederhana","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-stok-barang-excel-gratis.md","stok barang","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-surat-jalan-excel.md","surat jalan","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-target-tabungan.md","template target tabungan excel","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-task-tracker-kanban-excel.md","template task tracker kanban excel","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-tracker-cicilan-hutang.md","template tracker cicilan dan hutang excel","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/templates/template-tracker-proyek-sederhana.md","template tracker proyek excel","download + instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-arus-kas-sederhana-umkm.md","Cara Membaca Arus Kas Sederhana untuk UMKM","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-audit-rumus-excel.md","Cara Audit Rumus Excel dengan Trace Precedents dan Evaluate Formula","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-budget-pribadi-sebagai-catatan.md","Cara Membuat Budget Pribadi sebagai Catatan di Excel","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-checklist-kualitas-file-excel.md","Checklist Kualitas File Excel Sebelum Dikirim ke Orang Lain","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-conditional-formatting-sebagai-alarm.md","Conditional Formatting sebagai Alarm Kerja, Bukan Sekadar Warna","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-dashboard-sederhana-excel.md","Cara Membuat Dashboard Sederhana di Excel","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-data-model-excel.md","Data Model Excel untuk Banyak Tabel Tanpa Menyatukan Semuanya Manual","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-dropdown-data-validation-excel.md","Cara Membuat Dropdown Data Validation di Excel","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-dropdown-dinamis-excel.md","Cara Membuat Dropdown Excel yang Bertambah Otomatis","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-dynamic-array-spill-excel.md","Dynamic Array dan #SPILL!: Memahami Rumus yang Mengisi Banyak Sel","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-excel-table-untuk-template.md","Cara Memakai Excel Table agar Template Mudah Diperbarui","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-excel-table-vs-range.md","Excel Table vs Range Biasa: Pilih Sesuai Cara Data Dipakai","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-file-excel-rapi-untuk-dipakai-rutin.md","Cara Menjaga File Excel Tetap Rapi untuk Dipakai Rutin","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-memilih-template-excel-umkm.md","Cara Memilih Template Excel untuk UMKM","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-parameter-power-query.md","Parameter Power Query: Mengganti Sumber File Tanpa Membuat Query Ulang","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-pivottable-dua-tabel.md","PivotTable dari Dua Tabel: Memahami Relasi Data Sebelum Membuat Ringkasan","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-power-query-append.md","Append Queries Power Query: Menggabungkan Laporan Bulanan dengan Aman","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-power-query-data-asli.md","Power Query untuk Membersihkan Data Excel Tanpa Merusak Data Asli","instructional","Differentiated by page type, user task, and linked next step.","current release"
"src/content/guides/panduan-power-query-merge-vs-append.md","Merge vs Append Power Query: Memilih Cara Menggabungkan Dua Tabel","instructional","Differentiated by page type, user task, and linked next step.","current release"
