id,resource_type,title,slug,category,draft_path,download_path,preview_path,risk_level,content_status,workbook_qa_status,visual_qa_status,technical_verification_status,editorial_review_status,relation_review_status,seo_review_status,owner_review_required,owner_review_reason,publication_wave,planned_publish_date,release_status,production_smoke_status,search_console_status,notes
T-1,template,Template Absensi Karyawan Sederhana Excel Gratis,template-absensi-karyawan-sederhana,produktivitas-kerja,src/content/templates/template-absensi-karyawan-sederhana.md,public/downloads/template-absensi-karyawan-sederhana.xlsx,public/assets/templates/template-absensi-karyawan-sederhana.png,high,in_progress,passed,not_started,passed,in_progress,in_progress,in_progress,yes,"Manual owner acceptance required for finance, HR, customer data, procurement, accounting, or compliance-sensitive use: Template Absensi Karyawan Sederhana Excel Gratis.",owner-review-wave,,manual_owner_gate,not_applicable,not_applicable,OOXML structural QA passed; desktop visual inspection and owner release approval remain open.
T-2,template,Template Checklist Acara Excel Gratis,template-checklist-acara,rumah-tangga-acara,src/content/templates/template-checklist-acara.md,public/downloads/template-checklist-acara.xlsx,public/assets/templates/template-checklist-acara.png,low,in_progress,passed,not_started,passed,in_progress,in_progress,in_progress,yes,"Owner confirms intended audience, limitations, and release timing.",wave-1-low-risk,,not_started,not_applicable,not_applicable,OOXML structural QA passed; desktop visual inspection and owner release approval remain open.
T-3,template,Template Daftar Aset dan Inventaris Kantor Excel Gratis,template-daftar-aset-inventaris-kantor,bisnis-umkm,src/content/templates/template-daftar-aset-inventaris-kantor.md,public/downloads/template-daftar-aset-inventaris-kantor.xlsx,public/assets/templates/template-daftar-aset-inventaris-kantor.png,high,in_progress,passed,not_started,passed,in_progress,in_progress,in_progress,yes,"Manual owner acceptance required for finance, HR, customer data, procurement, accounting, or compliance-sensitive use: Template Daftar Aset dan Inventaris Kantor Excel Gratis.",owner-review-wave,,manual_owner_gate,not_applicable,not_applicable,OOXML structural QA passed; desktop visual inspection and owner release approval remain open.
T-4,template,Template Daftar Belanja Rumah Tangga Excel Gratis,template-daftar-belanja-rumah-tangga,rumah-tangga-acara,src/content/templates/template-daftar-belanja-rumah-tangga.md,public/downloads/template-daftar-belanja-rumah-tangga.xlsx,public/assets/templates/template-daftar-belanja-rumah-tangga.png,low,in_progress,passed,not_started,passed,in_progress,in_progress,in_progress,yes,"Owner confirms intended audience, limitations, and release timing.",wave-1-low-risk,,not_started,not_applicable,not_applicable,OOXML structural QA passed; desktop visual inspection and owner release approval remain open.
T-5,template,Template Daftar Harga Produk dan Jasa Excel Gratis,template-daftar-harga-produk-jasa,bisnis-umkm,src/content/templates/template-daftar-harga-produk-jasa.md,public/downloads/template-daftar-harga-produk-jasa.xlsx,public/assets/templates/template-daftar-harga-produk-jasa.png,high,in_progress,passed,not_started,passed,in_progress,in_progress,in_progress,yes,"Manual owner acceptance required for finance, HR, customer data, procurement, accounting, or compliance-sensitive use: Template Daftar Harga Produk dan Jasa Excel Gratis.",owner-review-wave,,manual_owner_gate,not_applicable,not_applicable,OOXML structural QA passed; desktop visual inspection and owner release approval remain open.
T-6,template,Template Daftar Kehadiran Acara Excel Gratis,template-daftar-kehadiran-acara,rumah-tangga-acara,src/content/templates/template-daftar-kehadiran-acara.md,public/downloads/template-daftar-kehadiran-acara.xlsx,public/assets/templates/template-daftar-kehadiran-acara.png,medium,in_progress,passed,not_started,passed,in_progress,in_progress,in_progress,yes,"Owner confirms intended audience, limitations, and release timing.",wave-2-follow-up,,not_started,not_applicable,not_applicable,OOXML structural QA passed; desktop visual inspection and owner release approval remain open.
T-7,template,Template Daftar Piutang Pelanggan Excel Gratis,template-daftar-piutang-pelanggan,bisnis-umkm,src/content/templates/template-daftar-piutang-pelanggan.md,public/downloads/template-daftar-piutang-pelanggan.xlsx,public/assets/templates/template-daftar-piutang-pelanggan.png,high,in_progress,passed,not_started,passed,in_progress,in_progress,in_progress,yes,"Manual owner acceptance required for finance, HR, customer data, procurement, accounting, or compliance-sensitive use: Template Daftar Piutang Pelanggan Excel Gratis.",owner-review-wave,,manual_owner_gate,not_applicable,not_applicable,OOXML structural QA passed; desktop visual inspection and owner release approval remain open.
T-8,template,Template Database Pelanggan Sederhana Excel Gratis,template-database-pelanggan-sederhana,bisnis-umkm,src/content/templates/template-database-pelanggan-sederhana.md,public/downloads/template-database-pelanggan-sederhana.xlsx,public/assets/templates/template-database-pelanggan-sederhana.png,high,in_progress,passed,not_started,passed,in_progress,in_progress,in_progress,yes,"Manual owner acceptance required for finance, HR, customer data, procurement, accounting, or compliance-sensitive use: Template Database Pelanggan Sederhana Excel Gratis.",owner-review-wave,,manual_owner_gate,not_applicable,not_applicable,OOXML structural QA passed; desktop visual inspection and owner release approval remain open.
T-9,template,Template Form Permintaan Pembelian Excel Gratis,template-form-permintaan-pembelian,bisnis-umkm,src/content/templates/template-form-permintaan-pembelian.md,public/downloads/template-form-permintaan-pembelian.xlsx,public/assets/templates/template-form-permintaan-pembelian.png,high,in_progress,passed,not_started,passed,in_progress,in_progress,in_progress,yes,"Manual owner acceptance required for finance, HR, customer data, procurement, accounting, or compliance-sensitive use: Template Form Permintaan Pembelian Excel Gratis.",owner-review-wave,,manual_owner_gate,not_applicable,not_applicable,OOXML structural QA passed; desktop visual inspection and owner release approval remain open.
T-10,template,Template Jadwal Belajar Siswa Excel Gratis,template-jadwal-belajar-siswa,pendidikan,src/content/templates/template-jadwal-belajar-siswa.md,public/downloads/template-jadwal-belajar-siswa.xlsx,public/assets/templates/template-jadwal-belajar-siswa.png,low,in_progress,passed,not_started,passed,in_progress,in_progress,in_progress,yes,"Owner confirms intended audience, limitations, and release timing.",wave-1-low-risk,,not_started,not_applicable,not_applicable,OOXML structural QA passed; desktop visual inspection and owner release approval remain open.
