id,type,cluster,wave,title,slug,category,priority,status,usefulness,indonesian_relevance,search_demand,differentiation,internal_link_potential,repeat_use,template_feasibility,content_feasibility,maintenance_burden,factual_compliance_risk,monetization_suitability,weighted_total,evidence_level,dependencies,related_templates,related_guides,related_formulas,related_troubleshooting,related_collections,owner_review_required,notes
T01,template,Bisnis dan UMKM,1,Invoice Penjualan UMKM,template-invoice-penjualan-umkm,bisnis-umkm,P0,published,5,5,5,3,5,4,5,4,2,3,5,4.50,search observation; inference,Owner review for wording and invoice disclaimers,template-stok-barang-excel-gratis; template-follow-up-pelanggan-excel,G01; G02,F01; F02,TR01; TR02,C01,yes,Published in Batch 3 Wave 1; keep as simple invoice and payment tracker; avoid tax/legal claims.
T02,template,Bisnis dan UMKM,1,Laporan Penjualan Harian UMKM,template-laporan-penjualan-harian-umkm,bisnis-umkm,P0,published,5,5,5,4,5,5,5,5,2,2,5,4.76,search observation; inference,Need sample categories and dashboard QA,template-stok-barang-excel-gratis,G02; G07,F01; F04,TR01; TR02,C01,yes,Published in Batch 3 Wave 1; strong foundation template for many internal links.
T03,template,Bisnis dan UMKM,1,Arus Kas UMKM,template-arus-kas-umkm,bisnis-umkm,P0,published,5,5,4,4,5,5,4,4,3,4,4,4.20,inference; secondary benchmark,Owner review for no accounting advice,template-budget-bulanan; template-laporan-penjualan-harian-umkm,G03,F01; F02,TR01; TR04,C01,yes,Published in Batch 3 Wave 1; use cash-in/cash-out tracking language; avoid financial statements claims.
T04,template,Keuangan Pribadi,1,Tracker Cicilan dan Hutang,template-tracker-cicilan-hutang,keuangan-pribadi,P0,published,5,5,4,4,5,5,5,4,2,4,4,4.36,inference,Owner review for debt disclaimer,template-budget-bulanan,G04,F01; F02; F04,TR01; TR04,C02,yes,Published in Batch 3 Wave 1; record-keeping only; no payoff strategy or advice.
T05,template,Bisnis dan UMKM,2,Pembukuan Pengeluaran Usaha,template-pembukuan-pengeluaran-usaha,bisnis-umkm,P1,planned,5,5,4,4,5,5,5,5,2,3,5,4.62,inference; template-library benchmark,Define categories and attachment/reference columns,template-stok-barang-excel-gratis; template-arus-kas-umkm,G01; G03,F01; F04,TR01; TR02,C01,yes,Complements cash-flow and sales templates.
T06,template,Keuangan Pribadi,2,Target Tabungan,template-target-tabungan,keuangan-pribadi,P1,planned,5,5,4,4,4,5,5,5,1,2,4,4.62,inference,Owner review for savings disclaimer,template-budget-bulanan,G04; G07,F01; F04,TR01,C02,yes,Keep goal tracking neutral and habit-focused.
T07,template,Produktivitas Kerja,2,Task Tracker Kanban Excel,template-task-tracker-kanban-excel,produktivitas-kerja,P1,planned,5,4,4,4,5,5,4,5,2,1,4,4.50,template-library benchmark; inference,Need layout compatibility review,template-kalender-planner-2026,G05; G06; G08,F04; F06,TR05; TR06,C03,no,Good office-use bridge to dropdowns and status formulas.
T08,template,Produktivitas Kerja,2,Notulen Rapat dan Action Item,template-notulen-rapat-action-item,produktivitas-kerja,P1,planned,4,4,3,4,4,4,5,5,1,1,4,4.20,inference,Need sample meeting/action taxonomy,template-kalender-planner-2026,G05; G08,F04; F06,TR04,C03,no,Useful lower-risk productivity template.
T09,template,Keuangan Pribadi,3,Catatan Pengeluaran Harian,template-pengeluaran-harian,keuangan-pribadi,P2,planned,4,5,4,3,4,5,5,5,1,2,4,4.34,inference,Coordinate with budget template to avoid duplication,template-budget-bulanan,G04,F01; F04,TR01,C02,yes,Position as daily habit log, not a second monthly budget.
T10,template,Produktivitas Kerja,3,Jadwal Shift Sederhana,template-jadwal-shift-sederhana,produktivitas-kerja,P2,planned,4,4,4,4,4,5,4,4,3,4,4,3.92,inference; template-library benchmark,Owner review for labor/payroll disclaimer,template-kalender-planner-2026,G06; G08,F06,TR04; TR05,C03,yes,Do not calculate payroll or make compliance claims.
